headline,abstract,lead_paragraph,pub_date,web_url
"Learning to Love Fitness, Despite Dreading Gym Class","Memories of the Presidential Physical Fitness Test, the grade-school assessment, inspired one reporter to reflect on her movement journey.",,2024-03-05T21:00:06Z,https://www.nytimes.com/2024/03/05/insider/learning-to-love-fitness-despite-disliking-gym-class.html
Tight on Time? How to Make the Most of a Short Workout.,"Combining resistance training and cardio will get your heart pumping, even if you only have 15 or 20 minutes to spare.",,2024-01-17T10:00:41Z,https://www.nytimes.com/2024/01/17/well/move/exercise-short-workout-time.html
Your Next Fitness Coach Could Be a Robot,"A.I. fitness trainers are here, at a fraction of the price of human coaching. But how useful are they?",,2023-04-26T14:39:56Z,https://www.nytimes.com/2023/04/26/well/move/ai-fitness-trainer-coach.html
Is a Heated Workout More Effective?,Here’s what happens to your body during a hot fitness class.,,2025-01-11T10:00:26Z,https://www.nytimes.com/2025/01/11/well/move/heated-workouts-fitness-benefits.html
Would You Wear Jeans at the Gym?,Frequent images of Robert F. Kennedy Jr. and others lifting weights in jeans and boots raise the question of what can be classified as proper gym attire.,,2024-12-20T18:30:07Z,https://www.nytimes.com/2024/12/20/style/robert-kennedy-jr-jeans-gym.html
Physical Fitness Linked to Better Mental Health in Young People,"A new study bolsters existing research suggesting that exercise can protect against anxiety, depression and attention challenges.",,2024-04-29T15:21:22Z,https://www.nytimes.com/2024/04/29/health/adolescents-exercise-mental-health.html
"To Level Up Your Strength-Training Workout, Embrace the Battle Rope",These bulky ropes in the corner of the gym can look intimidating. But it turns out they are an excellent full body workout for beginners that’s gentle on the body.,,2022-11-17T16:03:30Z,https://www.nytimes.com/2022/11/17/well/move/gym-workout-battle-rope.html
How to Optimize Your Workout to Boost Your Mood,Physical activity can brighten your outlook and calm your nerves — if you do it strategically.,,2024-07-30T14:55:00Z,https://www.nytimes.com/2024/07/30/well/move/exercise-boost-mood.html
"Richard Simmons, ‘the Clown Prince of Fitness,’ Dies at 76","He turned exercise from an arena of musclebound pride into a variety act of cross-dressing gags, teeny-weeny shorts and saucy repartee.",,2024-07-13T23:04:18Z,https://www.nytimes.com/2024/07/13/arts/television/richard-simmons-dead.html
The Transformation of the Fitness Industry,"Workouts, like work itself, can be done at home, and clubs are learning how to lure customers back.",,2021-10-19T09:00:13Z,https://www.nytimes.com/2021/10/19/business/fitness-industry-remote.html
Exercise Is Good for Everything. Even Hangovers.,"If you overdid it last night, here’s what to know before sweating through your misery.",,2024-11-29T14:02:01Z,https://www.nytimes.com/2024/11/29/well/move/hangover-exercise-workout.html
Hate Exercise? We Made This 10-Minute Workout Just for You.,Here’s an easy routine to get you started. The gentle moves require no equipment — and are actually pretty fun to do.,,2024-08-01T09:00:15Z,https://www.nytimes.com/2024/08/01/well/move/workout-10-minutes-motivation.html
Workout Wear Loosens Up,"Skintight leggings, crop tops and unitards have long been the workout uniform, but women’s active wear trends are expanding.",,2025-01-01T10:01:04Z,https://www.nytimes.com/2025/01/01/style/workout-wear-loosens-up.html
How to Exercise When It Feels Impossible,We all have reasons we can’t work out as much as we want. You can get over them — just don’t call them excuses.,,2024-01-24T23:14:50Z,https://www.nytimes.com/interactive/2024/01/24/well/move/exercise-excuses-barriers-fitness.html
How to Avoid Hurting Yourself at the Gym,Here are the four exercises you’re most at risk of doing wrong — and what can keep you safe.,,2022-09-12T09:00:21Z,https://www.nytimes.com/2022/09/12/well/move/exercise-injuries.html
"Yes, You Can Get a Workout in 10 Minutes",This full-body routine fits into even the busiest schedule.,,2025-01-02T10:00:27Z,https://www.nytimes.com/2025/01/02/well/10-minute-hiit-workout.html
"For a Better Workout, Trick Your Brain",Sometimes getting on the bike or hitting the pavement is more a mental game than a physical one.,,2023-05-26T09:00:05Z,https://www.nytimes.com/2023/05/26/well/move/exercise-workout-motivation-brain.html
What Popular Fitness Fads Get Wrong,"Viral online exercise challenges, like the 75 Hard or the 12-3-20, might get you in shape in the short run, but they may not help you build sustainable healthy habits.",,2024-03-12T09:03:22Z,https://www.nytimes.com/2024/03/12/well/move/fitness-challenge-workout-diet-tiktok.html
How to Exercise During Menopause,Your body changes during the menopause transition. So should your fitness routine.,,2024-08-21T09:00:09Z,https://www.nytimes.com/2024/08/21/well/move/exercise-tips-menopause.html
Could You Pass the Presidential Physical Fitness Test Today?,"Whether you loved it or loathed it as a kid, the exercises can still be a revealing measure of health — now that no one’s forcing you to do them.",,2024-02-20T10:00:17Z,https://www.nytimes.com/2024/02/20/well/move/presidential-fitness-test-adult.html
A 19-Minute HIIT Workout for Beginners,"Done correctly, high-intensity interval training is one of the most efficient forms of exercise. Here’s how to do it.",,2023-03-15T15:00:09Z,https://www.nytimes.com/2023/03/15/well/move/hiit-workout-beginner.html
12 Workouts to Try in 2024,"Here are some of our favorite moves to help you feel strong and age well, no matter your fitness level.",,2023-12-27T10:02:36Z,https://www.nytimes.com/2023/12/27/well/move/best-workouts-fitness-2024.html
"No Pain, No Gain? Your Body Would Like a Word.","Experts say it’s crucial to listen to your body to avoid injury. But what does that really mean, and how can you put it into practice?",,2024-01-31T10:00:07Z,https://www.nytimes.com/2024/01/31/well/move/exercise-workout-safety-injury.html
Forget About a Gym. These People Pay Thousands for Personalized Workouts.,"“I’m in for $31,000 a year,” a fashion consultant says. That covers a trainer, a nutritionist, an age management doctor and “tons of supplements.”",,2021-01-08T14:00:07Z,https://www.nytimes.com/2021/01/08/your-money/gyms-personal-workouts.html
A Penny for Your Squats?,"Among 52 incentives to exercise, giving people a 9-cent award if they returned to the gym after missing a workout helped the most.",,2021-12-08T16:00:06Z,https://www.nytimes.com/2021/12/08/well/move/exercise-motivation-study.html
How to Pick a Personal Trainer,"First, decide what kind of support you really need.",,2024-11-14T10:03:39Z,https://www.nytimes.com/2024/11/14/well/move/personal-trainer-fitness-coach.html
Is He Ever Just a Personal Trainer?,Male fitness instructors have had a reputation for being flirts and girlfriend stealers. How true is it?,,2024-03-21T07:00:11Z,https://www.nytimes.com/2024/03/21/style/personal-trainer-fitness.html
"How to Swim for Fitness, and 5 More Water Workouts",Beach and pool season are starting. Why not get a little exercise while you’re in the sun?,,2024-05-25T09:02:46Z,https://www.nytimes.com/2024/05/25/well/move/workout-swimming-exercises-pool.html
The Fastest Way to Boost Your Fitness,"Sprinting, at least for short distances, can be a great way to level up your workout routine.",,2024-04-23T09:00:22Z,https://www.nytimes.com/2024/04/23/well/move/sprints-running-workout.html
"How Important Is Stretching, Really?",And do you need to do it before and after every workout? Here’s what experts say about when to stretch and why.,,2022-12-15T10:00:11Z,https://www.nytimes.com/2022/12/15/well/move/stretching-exercise-workout.html
"What Good Is a 5-Minute Workout, Really?","Short bursts of exercise might provide some benefits, but don’t cancel your gym membership just yet.",,2023-12-14T16:00:12Z,https://www.nytimes.com/2023/12/14/well/move/5-minute-hiit-workout.html
"For Suburban Texas Men, a Workout Craze With a Side of Faith","In Katy, outside Houston, many men have taken up F3, a no-frills fitness group where members push themselves physically but also bond emotionally.",,2022-09-24T09:00:34Z,https://www.nytimes.com/2022/09/24/us/f3-workout-men-texas.html
The Best Time of Day to Exercise for Metabolic Health,"Late-day exercise had unique benefits for cholesterol levels and blood sugar control, a study of overweight men eating a high-fat diet found.",,2021-05-26T09:00:09Z,https://www.nytimes.com/2021/05/26/well/move/exercise-time-day-metabolic-health.html
When Is the Best Time to Work Out?,It’s an age-old question. But a few recent studies have brought us closer to an answer.,,2024-05-04T09:01:57Z,https://www.nytimes.com/2024/05/04/well/move/workout-exercise-morning-evening.html
Four Fitness Facts to Fuel Your Workout,Things to keep in mind for when you’re low on motivation.,,2022-07-29T00:00:06Z,https://www.nytimes.com/2022/07/28/well/move/easy-exercise-tips.html
An Editor Whose Business Is Fitness,"Molly Mirhashem, an editor on the Well desk, wants to motivate readers of all ages and experience levels.",,2024-05-26T07:01:04Z,https://www.nytimes.com/2024/05/26/insider/fitness-stories.html
Are Americans Doing Fitness Wrong?,Four lessons about exercise from around the world.,,2025-01-21T16:42:23Z,https://www.nytimes.com/2025/01/21/well/move/international-fitness-lessons.html
The Last Workout,"Told gyms would close imminently, some New Yorkers rushed to get one more burst of endorphins.",,2020-03-17T14:20:28Z,https://www.nytimes.com/2020/03/17/style/gym-coronavirus.html
The Fitness Trends That Experts Hate,"If you want to get fitter this year, here’s what to focus on instead.",,2025-01-03T16:00:08Z,https://www.nytimes.com/2025/01/03/well/move/fitness-trends-tiktok-instagram.html
"For a Better Workout, Think Like a Kid","If you want to move more, look to your childhood and let things get silly.",,2023-08-09T09:00:58Z,https://www.nytimes.com/2023/08/09/well/move/exercise-workout-childhood-kids.html
The Full-Body Pool Workout That Doesn’t Involve Swimming,"This 20-minute aquatic exercise routine is easy on the joints and provides a fun alternative to the gym, especially in summer.",,2023-07-12T15:00:31Z,https://www.nytimes.com/2023/07/12/well/move/full-body-workout-pool-exercises.html
This 9-Minute Warm-Up Is Better Than Stretching,Starting your workout with some gentle movement can help avoid injuries.,,2024-07-11T09:01:23Z,https://www.nytimes.com/2024/07/11/well/move/workout-warm-up-exercise.html
A New Fitness Craze With Big Drama,"Hyrox, a sporting event founded in Germany, has earned a large following for its dazzling, high-profile races.",,2024-04-28T09:02:09Z,https://www.nytimes.com/2024/04/28/style/hyrox-workout-anaheim-germany.html
Most Fitness Influencers Are Doing More Harm Than Good,Research suggests that many exercise-themed social media can be harmful to mental health. Here’s how to find #fitspiration you can trust.,,2023-05-10T09:00:21Z,https://www.nytimes.com/2023/05/10/well/move/fitness-influencers.html
"In New York, the Strongmen Step Outside",A new generation of fitness buffs is prioritizing mutual encouragement in the group workouts that have sprouted up in city playgrounds for years.,,2024-10-23T20:00:27Z,https://www.nytimes.com/2024/10/23/style/outdoor-workouts-nyc-motivational-monday.html
How Long Does It Take to Get Fit Again?,We all stray from exercise sometimes. Here’s how your body will bounce back.,,2023-01-30T10:00:18Z,https://www.nytimes.com/2023/01/30/well/move/fitness-loss-exercise.html
2020: A Year in Fitness Like No Other,"The novel coronavirus crept into and transformed every aspect of our lives, including the way we work out.",,2020-12-16T10:00:16Z,https://www.nytimes.com/2020/12/16/well/move/2020-fitness-exercise.html
How Exercise May Affect Our Alcohol Consumption,People who are aerobically fit and work out a lot tend to imbibe more than their less fit peers.,,2021-12-22T10:00:09Z,https://www.nytimes.com/2021/12/22/well/fitness-alcohol-drinking-exercise.html
Think Getting Into College Is Hard? Try Applying for These Gyms.,"A new crop of luxury, application-only gyms requires referrals, interviews, deep dives through your social media and even, in some cases, medical evaluations. And that’s before paying a monthly fee of up to $2,750.",,2023-03-25T09:00:22Z,https://www.nytimes.com/2023/03/25/style/exclusive-gym-memberships.html
Here’s One More Reason to Try to Exercise,Consistent workouts can be a powerful way to fight chronic inflammation.,,2025-03-19T09:00:34Z,https://www.nytimes.com/2025/03/19/well/move/inflammation-exercise.html
"Patricia Moreno, Spiritual Fitness Leader, Dies at 57",Ms. Moreno’s intenSati program helped bring positive psychology into the exercise world.,,2022-02-10T21:12:46Z,https://www.nytimes.com/2022/02/10/health/patricia-moreno-dead.html
Can Fitness Trackers Really Make You Fitter?,Wearables can now track everything from heart rate variability to stride length. But access to so much data does not always mean better health.,,2024-02-24T10:04:07Z,https://www.nytimes.com/2024/02/24/well/move/fitness-watch-tracker-wearable-data.html
How to Exercise When It’s Humid,Working out in muggy weather can be brutal. Here are four ways to survive and thrive when it feels like a sauna outside.,,2023-06-17T09:00:33Z,https://www.nytimes.com/2023/06/17/well/move/exercise-heat-humidity.html
"Child Care, Cafes, Herman Miller Desks: It’s Not Your Average Gym","High-end gyms, many of which used to be an amenity, are now the star attraction, offering hotel rooms and workspaces as part of their appeal. They’ve also gotten a lot bigger.",,2024-06-23T09:00:27Z,https://www.nytimes.com/2024/06/23/business/luxury-gym-equinox-life-time-chelsea-piers-amenities.html
"Really, Really Short Workouts","Originally published April 29, 2016",,2023-09-27T22:03:33Z,https://www.nytimes.com/article/really-short-workouts.html
What’s the Future of Group Exercise Classes?,"In February and March, 112 people were infected with the Covid-19 virus in South Korea because of Zumba classes.",,2020-06-03T10:21:23Z,https://www.nytimes.com/2020/06/03/well/coronavirus-gym-exercise-classes-group-fitness.html
How to Start Strength Training at the Gym,Lifting at your local gym can be intimidating. Here’s a beginner-friendly guide to the weight room.,,2024-09-25T15:00:40Z,https://www.nytimes.com/2024/09/25/well/move/beginners-weights-exercise.html
How Exercise Strengthens Your Brain,"Physical activity improves cognitive and mental health in all sorts of ways. Here’s why, and how to reap the benefits.",,2024-04-02T09:00:55Z,https://www.nytimes.com/2024/04/02/well/mind/exercise-mental-health-cognition.html
An 11-Minute Body-Weight Workout With Proven Fitness Benefits,"Five minutes of burpees, jump squats and other calisthenics, alternating with rest, improved aerobic endurance in out-of-shape men and women.",,2021-01-13T10:00:10Z,https://www.nytimes.com/2021/01/13/well/move/an-11-minute-body-weight-workout-with-proven-fitness-benefits.html
"At 97, the First Lady of Fitness Is Still Shaping the Industry","Elaine LaLanne — who revolutionized modern exercise alongside her husband, Jack — is a model for aging well.",,2023-09-04T09:00:42Z,https://www.nytimes.com/2023/09/04/well/move/elaine-lalanne-fitness-exercise.html
Women Get Less Exercise Than Men. It’s a Problem.,"Experts say the fitness gender gap is because women have less time to work out, and that their health is paying the price.",,2024-11-11T10:00:20Z,https://www.nytimes.com/2024/11/11/well/move/exercise-gender-gap-caregiving.html
How to Hit Peak Fitness After 40,"You can’t train in middle age like you did in your 20s. But if you’re strategic, your best days can still be ahead.",,2025-01-06T10:00:10Z,https://www.nytimes.com/2025/01/06/well/move/peak-fitness-after-40.html
How ‘Muscle Confusion’ Might Help Your Workouts,"Shifting, quicksilver workouts may yield mental benefits that more rote regimens do not.",,2020-01-08T10:00:08Z,https://www.nytimes.com/2020/01/08/well/move/muscle-confusion-exercise-workouts-fitness.html
Why Exercise Is More Important Than Weight Loss for a Longer Life,People typically lower their risks of heart disease and premature death far more by gaining fitness than by dropping weight.,,2021-09-29T09:00:08Z,https://www.nytimes.com/2021/09/29/well/move/exercise-weight-loss-longer-life.html
The Health Trends That Are Defining 2024,"“Hurkle-durkling” is in, along with gut health and floor time.",,2024-07-03T09:04:01Z,https://www.nytimes.com/2024/07/03/well/health-wellness-trends-2024.html
How to Exercise for Better Sleep,A fitness routine can be key to a good night’s rest. But too much exercise at the wrong time could aggravate insomnia.,,2024-12-02T10:00:18Z,https://www.nytimes.com/2024/12/02/well/move/how-to-exercise-for-better-sleep.html
Is ‘Zone 2’ the Magic Effort Level for Exercise?,"Enthusiasts claim that these long, slow workouts could be the key to longevity and better health. Here’s what the science actually says.",,2025-02-19T16:00:05Z,https://www.nytimes.com/2025/02/19/well/move/zone-2-exercise-benefits.html
What Your Heart Rate Can Tell You About Your Fitness,Most fitness trackers offer a wealth of heart-rate data. Here’s how to make sense of it.,,2024-06-19T09:01:23Z,https://www.nytimes.com/2024/06/19/well/move/heart-rate-fitness.html
Gyms and Coronavirus: What Are the Risks?,"Sweat cannot transmit the virus but high-contact surfaces, such as barbells, can pose a problem, a doctor said.",,2020-03-08T10:00:07Z,https://www.nytimes.com/2020/03/08/health/coronavirus-gyms-safety.html
The 7-Minute Stress Workout,Sometimes moving the body can help quiet the mind.,,2024-10-09T09:02:13Z,https://www.nytimes.com/2024/10/09/well/move/short-stress-relief-workout.html
Find Your Next Favorite Workout,"Whether you’re starting from scratch or just looking to try something new, we can help you build an exercise routine that sticks.",,2025-01-17T22:35:14Z,https://www.nytimes.com/interactive/2025/well/move/workout-plan-ideas.html
Why the Air at the Gym May Be More Likely to Spread Covid,A new study found exercisers expel a shocking number of tiny aerosol particles when they are working hard.,,2022-05-24T16:45:45Z,https://www.nytimes.com/2022/05/24/well/move/covid-gym-air.html
Is Pilates as Good as Everyone Says?,The strength and flexibility workout is having a moment. What can — and can’t — it do for us?,,2022-07-22T16:01:07Z,https://www.nytimes.com/2022/07/22/well/move/pilates-exercise-flexibility.html
"Winter Workout Tips, From Scientists Who Study Extreme Cold",A few tweaks to your routine can make getting outside more comfortable this season.,,2024-12-10T10:00:47Z,https://www.nytimes.com/2024/12/10/well/move/winter-workout-exercise-tips.html
Bouncing Your Way to Better Health,"Trampolines aren’t just for kids. This exercise tool can be a low-impact boon for your cardiovascular fitness, pelvic floor strength and sense of balance",,2022-11-11T10:00:21Z,https://www.nytimes.com/2022/11/11/well/move/trampoline-exercise-health-benefits.html
A 15-Minute Full-Body Kettlebell Workout,"This workout, which strengthens both your muscles and your heart, can be done at home or in the gym.",,2025-01-08T10:00:16Z,https://www.nytimes.com/2025/01/08/well/move/full-body-kettlebell-workout-beginner.html
The Secret to a Better Workout Is Probably Already in Your Kitchen,"Used correctly, caffeine can help you lift more, run faster and cycle farther.",,2023-02-02T10:00:19Z,https://www.nytimes.com/2023/02/02/well/move/caffeine-workout-exercise.html
5 Fitness Resolutions That Have Nothing to Do With Weight Loss,"This year, set a goal that can actually help you sustain an exercise habit.",,2025-01-01T10:00:13Z,https://www.nytimes.com/2025/01/01/well/move/fitness-new-years-resolutions.html
How to Exercise for Lower Blood Pressure,"It’s not which workout you choose, but how you do it.",,2024-05-17T09:00:37Z,https://www.nytimes.com/2024/05/17/well/exercise-blood-pressure.html
Should You Exercise When You’re Sick?,"If you have a cold, Covid or the flu, here’s how to determine whether it’s wise to work out.",,2024-10-02T15:00:10Z,https://www.nytimes.com/2024/10/02/well/move/exercise-sick-illness.html
"Carry Your Groceries, Take the Stairs: Short, Intense Movement Can Improve Your Health",A new study confirms that you don’t have to do a hard workout to reap the longevity rewards of exercise.,,2022-12-08T16:13:23Z,https://www.nytimes.com/2022/12/08/well/move/exercise-bursts-benefits.html
8 Fitness Myths That Drive Experts Crazy,Running is bad for your knees. The heavier the weight the better. Ice baths. And more.,,2024-01-04T15:56:00Z,https://www.nytimes.com/2024/01/04/well/move/fitness-myths.html
"As Virus Cases Speed Up, Seoul Tells Gym Users to Slow Down","Treadmills can go no faster than a brisk walk, and songs must fall below 120 beats per minute, under new regulations that confused some exercisers in South Korea. “It seems weird to me,” one said.",,2021-07-13T15:48:10Z,https://www.nytimes.com/2021/07/13/world/asia/south-korea-gyms-covid.html
Millennials and Gen Z Are Fighting Again. This Time About Gym Clothes.,Are you team tight-on-tight or tight-on-baggy?,,2025-03-17T18:47:17Z,https://www.nytimes.com/2025/03/17/style/gym-wear-fitness-fashion-trends.html
Lifelong Exercise Adds Up to Big Health Care Savings,"People who start to exercise before or during middle age typically save from $824 to $1,874 annually on health care costs after retirement.",,2021-06-16T09:00:05Z,https://www.nytimes.com/2021/06/16/well/move/exercise-health-care-cost-savings.html
The Decade That Changed Fitness Forever,"From 1972 to 1982, American exercise entered the modern era. Here are five workouts that changed the game.",,2025-01-15T00:01:56Z,https://www.nytimes.com/interactive/2025/01/14/well/move/fitness-evolution-trends-1970s.html
12 Workouts to Try in 2023,"This year, resolve to create a stable fitness routine out of whatever you enjoy most.",,2022-12-30T19:21:46Z,https://www.nytimes.com/2022/12/30/well/workouts-exercises.html
"Our Favorite Workouts of 2024, So Far","This summer, find a new fitness routine that can help you build a habit for the rest of the year.",,2024-07-01T09:01:31Z,https://www.nytimes.com/2024/07/01/well/move/best-workouts-exercises.html
"The Year in Fitness: Shorter Workouts, Greater Clarity, Longer Lives","The most vital exercise science of 2021 provided a reminder that our bodies and minds can flourish, no matter our circumstances.",,2021-12-29T10:00:07Z,https://www.nytimes.com/2021/12/29/well/move/short-workouts-mind-body.html
Skipping Isn’t Just for Kids. It Can Be a Great Workout.,It feels like play. Here’s what fitness experts say about using the activity as a training tool.,,2025-03-28T15:00:10Z,https://www.nytimes.com/2025/03/28/well/move/skipping-fitness-benefits.html
"For Better Health, Try Fitness From the Inside Out","A career in health journalism has taught me that when it comes to living well, it’s the inner workout that counts the most.",,2022-04-01T00:00:08Z,https://www.nytimes.com/2022/03/31/well/mind/health-fitness-lessons.html
A 25-Minute Strength Workout for Beginners,New to the weight room? This routine is for you.,,2024-09-25T15:01:47Z,https://www.nytimes.com/2024/09/25/well/move/beginners-short-strength-workout.html
Stressed During the Holidays? There’s an Exercise for That.,These easy fitness strategies will help keep your spirits up.,,2022-12-02T15:56:19Z,https://www.nytimes.com/2022/12/02/well/move/holiday-stress-exercise.html
Can Vaccinated People Go to the Gym?,Experts offer guidance on indoor fitness classes and more.,,2021-07-16T16:13:22Z,https://www.nytimes.com/2021/07/16/well/covid-vaccine-gyms-fitness-class.html
5 Cheap(ish) Things for Home Fitness,How to work up a sweat without leaving the house.,,2024-01-05T20:16:04Z,https://www.nytimes.com/interactive/2024/01/05/smarter-living/wirecutter/cheapish-fitness-things.html
"C.D.C. Traces Covid Outbreaks in Gyms, Urging Stricter Precautions","Coronavirus cases at fitness centers in Chicago and Honolulu were linked to carelessness about masks and symptoms, federal health officials found.",,2021-02-24T22:46:37Z,https://www.nytimes.com/2021/02/24/health/coronavirus-gyms-outbreaks.html
Mobility Issues? Balance Concerns? Try a Chair Workout.,"You can still build strength with a few simple, seated exercises.",,2024-08-15T09:00:19Z,https://www.nytimes.com/2024/08/15/well/move/seated-chair-exercises.html
When the Last Thing You Want to Do Is Exercise,Bundle your incentives. Be flexible. Get some support. Here’s how to get — and stay — motivated.,,2022-01-19T16:29:31Z,https://www.nytimes.com/2022/01/19/well/move/habits-motivation-exercise.html
"For an Exercise ‘Snack,’ Try the New Standing 7-Minute Workout","During pandemic lockdowns, many of us learned the importance of short home workouts. Take the 7-Day Well Challenge for a new exercise video and more ways to keep moving in 2021.",,2021-01-04T10:00:06Z,https://www.nytimes.com/2021/01/04/well/move/for-an-exercise-snack-try-the-new-standing-7-minute-workout.html
Train Your Muscles Without a Gym,Get to a nearby park and get in shape (safely).,,2020-06-27T09:00:04Z,https://www.nytimes.com/2020/06/27/at-home/workout-without-a-gym-coronavirus.html
Trainers Give a Thumbs Down to Lenny Kravitz’s Workout Video,"The rock star’s viral social media post showed him doing a furious three-in-one routine, with weights. Gym professionals had thoughts.",,2024-04-11T01:06:32Z,https://www.nytimes.com/2024/04/10/style/lenny-kravitz-workout-video-trainers.html
When Your Workout Stops Working,Fitness progress can stall. Here’s how to get over the hump.,,2023-09-20T09:00:14Z,https://www.nytimes.com/2023/09/20/well/move/workout-progress-plateau.html
Is It Safe to Exercise When the Air Is Smoky?,"The answer depends on your overall health, along with the length and intensity of your workout.",,2024-07-26T09:01:31Z,https://www.nytimes.com/2024/07/26/well/move/exercise-outdoors-safety-wildfire-smoke.html
How Fit Are You? Test Yourself to Find Out.,There are many ways to gauge how strong and healthy you are. Here are some of our favorites.,,2024-07-23T09:00:41Z,https://www.nytimes.com/2024/07/23/well/move/fitness-tests.html
Turn Your Phone Into a Fitness Coach,"You don’t need a smartwatch or an activity tracker to monitor your exercise, nutrition and other health information.",,2021-06-30T13:00:13Z,https://www.nytimes.com/2021/06/30/technology/personaltech/turn-your-phone-into-a-fitness-coach.html
How to Start Working Out Again,We asked experts for advice on creating an exercise plan you can actually stick with — and enjoy.,,2024-01-05T10:01:05Z,https://www.nytimes.com/2024/01/05/well/move/fitness-workout-new-year.html
